Occurrence Date,Occurrence Hour,NIBRS Description,Offense Count,Premise
12/1/2018,0,Intimidation,1,"Residence, Home (Includes Apartment)"
12/1/2018,0,Forcible fondling,1,"Residence, Home (Includes Apartment)"
12/1/2018,0,"False pretenses, swindle",1,"Residence, Home (Includes Apartment)"
12/1/2018,0,Theft from motor vehicle,1,"Parking Lot, Garage"
12/1/2018,0,Motor vehicle theft,1,"Parking Lot, Garage"
12/1/2018,0,Simple assault,1,"Residence, Home (Includes Apartment)"
12/1/2018,0,Aggravated Assault,1,"Residence, Home (Includes Apartment)"
12/1/2018,0,Weapon law violations,1,"Highway, Road, Street, Alley"
12/1/2018,0,Driving under the influence,1,"Highway, Road, Street, Alley"
12/1/2018,0,Drunkenness,1,"Bar, Nightclub"
12/1/2018,0,Driving under the influence,1,"Highway, Road, Street, Alley"
12/1/2018,0,Driving under the influence,1,"Highway, Road, Street, Alley"
12/1/2018,0,"Drug, narcotic violations",1,"Highway, Road, Street, Alley"
12/1/2018,0,"Drug, narcotic violations",1,"Residence, Home (Includes Apartment)"
12/1/2018,0,Drug equipment violations,1,"Residence, Home (Includes Apartment)"
12/1/2018,0,Driving under the influence,1,"Highway, Road, Street, Alley"
12/1/2018,0,Robbery,1,"Highway, Road, Street, Alley"
12/1/2018,0,Driving under the influence,1,"Highway, Road, Street, Alley"
12/1/2018,0,All other offenses,1,"Highway, Road, Street, Alley"
12/1/2018,0,Aggravated Assault,1,"Residence, Home (Includes Apartment)"
12/1/2018,0,Trespass of real property,1,"Airplane, Bus,Train Terminal"
12/1/2018,0,Simple assault,1,"Bar, Nightclub"
12/1/2018,0,Forcible rape,1,"Residence, Home (Includes Apartment)"
12/1/2018,0,"Burglary, Breaking and Entering",1,"Residence, Home (Includes Apartment)"
12/1/2018,0,Simple assault,2,"Residence, Home (Includes Apartment)"
12/1/2018,0,"Drug, narcotic violations",1,"Highway, Road, Street, Alley"
12/1/2018,0,Weapon law violations,1,Restaurant
12/1/2018,0,Aggravated Assault,1,"Highway, Road, Street, Alley"
12/1/2018,0,Disorderly conduct,1,"Highway, Road, Street, Alley"
12/1/2018,0,Theft from motor vehicle,1,"Parking Lot, Garage"
12/1/2018,0,Theft from motor vehicle,1,"Parking Lot, Garage"
12/1/2018,0,Theft of motor vehicle parts or accessory,1,"Residence, Home (Includes Apartment)"
12/1/2018,0,All other larceny,1,"Residence, Home (Includes Apartment)"
12/1/2018,0,Theft from motor vehicle,1,"Parking Lot, Garage"
12/1/2018,0,"Destruction, damage, vandalism",1,"Residence, Home (Includes Apartment)"
12/1/2018,0,Intimidation,1,"Residence, Home (Includes Apartment)"
12/1/2018,0,Robbery,1,"Highway, Road, Street, Alley"
12/1/2018,0,Theft from motor vehicle,1,"Other, Unknown"
12/1/2018,0,Identify theft,1,"Other, Unknown"
